name,address,pincode,lat,lon,fee_type,vaccine_fees,date,available_capacity_dose1,available_capacity_dose2,min_age_limit,vaccine,slots
WARD NO 46 DAPCO BUILDING,M R Palya J C Nagaraa MAIN ROAD BECIDE GANESH TEMPLE,560006,13,77,Free,free,05-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD NO 46 DAPCO BUILDING,M R Palya J C Nagaraa MAIN ROAD BECIDE GANESH TEMPLE,560006,13,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 80 BBMP Govt School,NEAR Murphy Town UPHC,560008,12,77,Free,free,03-06-2021,55,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 80 BBMP Govt School,NEAR Murphy Town UPHC,560008,12,77,Free,free,04-06-2021,65,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 80 BBMP Govt School,NEAR Murphy Town UPHC,560008,12,77,Free,free,05-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 80 BBMP Govt School,NEAR Murphy Town UPHC,560008,12,77,Free,free,06-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 90 RBANMS SCHOOL,Cambridge Road Ulsoor Refferal Hospital Ulsoor,560008,12,77,Free,free,03-06-2021,50,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 90 RBANMS SCHOOL,Cambridge Road Ulsoor Refferal Hospital Ulsoor,560008,12,77,Free,free,04-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 90 RBANMS SCHOOL,Cambridge Road Ulsoor Refferal Hospital Ulsoor,560008,12,77,Free,free,05-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
Ward 90 RBANMS SCHOOL,Cambridge Road Ulsoor Refferal Hospital Ulsoor,560008,12,77,Free,free,06-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
